code,label
30190,"obscenity, state"
30200,"obscenity, federal"
40010,"due process: miscellaneous"
40020,"due process: hearing or notice"
40030,"due process: hearing, government employees"
40040,"due process: prisoners' rights and defendants' rights"
40050,"due process: impartial decision maker"
40060,"due process: jurisdiction (over non-resident litigants)"
40070,"due process: takings clause, or other non-constitutional governmental taking of property"
50010,"privacy"
50020,"abortion: including contraceptives"
50030,"right to die"
50040,"Freedom of Information Act and related federal or state statutes or regulations"
60010,"attorneys' and governmental employees'/officials' fees, compensation, or licenses"
60020,"commercial speech, attorneys"
60030,"admission to a state or federal bar, disbarment, and attorney discipline"
60040,"admission to, or disbarment from, Bar of the U.S. Supreme Court"
70010,"arbitration (labor-management or employer-employee relations)"
70020,"union antitrust: legality of anticompetitive union activity"
70030,"union or closed shop"
70040,"Fair Labor Standards Act"
70050,"Occupational Safety and Health Act"
70060,"union-union member dispute"
70070,"labor-management disputes: bargaining"
70080,"labor-management disputes: employee discharge"
70090,"labor-management disputes: distribution of union literature"
70100,"labor-management disputes: representative election"
70110,"labor-management disputes: antistrike injunction"
70120,"labor-management disputes: jurisdictional dispute"
70130,"labor-management disputes: right to organize"
70140,"labor-management disputes: picketing"
70150,"labor-management disputes: secondary activity"
70160,"labor-management disputes: no-strike clause"
70170,"labor-management disputes: union representatives"
70180,"labor-management disputes: union trust funds"
70190,"labor-management disputes: working conditions"
70200,"labor-management disputes: miscellaneous dispute"
70210,"miscellaneous union"
80010,"antitrust"
80020,"mergers"
80030,"bankruptcy"
80040,"sufficiency of evidence"
80050,"election of remedies"
80060,"liability, governmental"
80070,"liability, other"
80080,"liability, punitive damages"
80090,"Employee Retirement Income Security Act"
80100,"state or local government tax"
80105,"state and territorial land claims"
80110,"state or local government regulation, especially of business"
80120,"federal or state regulation of securities"
80130,"natural resources - environmental protection"
80140,"corruption, governmental or governmental regulation of"
80150,"zoning"
80160,"arbitration (other than labor-management or employer-employee relations)"
80170,"federal or state consumer protection"
80180,"patents and copyrights: patent"
80190,"patents and copyrights: copyright"
80200,"patents and copyrights: trademark"
80210,"patents and copyrights: patentability of computer processes"
80220,"federal or state regulation of transportation: railroad"
80230,"federal and some few state regulation of transportation: boat"
80240,"federal and some few state regulation of transportation: truck, or motor carrier"
80250,"federal and some few state regulation of transportation: pipeline"
80260,"federal and some few state regulation of transportation: airline"
80270,"federal and some few state regulation of public utilities: electric power"
80280,"federal and some few state regulation of public utilities: nuclear power"
80290,"federal and some few state regulation of public utilities: oil producer"
80300,"federal and some few state regulation of public utilities: gas producer"
80310,"federal and some few state regulation of public utilities: gas pipeline"
80320,"federal and some few state regulation of public utilities: radio and television"
80330,"federal and some few state regulation of public utilities: cable television"
80340,"federal and some few state regulation of public utilities: telephone or telegraph company"
80350,"miscellaneous economic regulation"
90010,"comity: civil rights"
90020,"comity: criminal procedure"
90030,"comity: First Amendment"
90040,"comity: habeas corpus"
90050,"comity: military"
90060,"comity: obscenity"
90070,"comity: privacy"
90080,"comity: miscellaneous"
90090,"comity primarily removal cases, civil procedure; deference to foreign judicial tribunals"
90100,"assessment of costs or damages as part of a court order"
90110,"Federal Rules of Civil Procedure"
90120,"judicial review of administrative agency's or official's actions and procedures"
90130,"mootness"
90140,"venue"
90150,"no merits: writ improvidently granted"
90160,"no merits: dismissed or affirmed for want of a substantial or properly presented federal question, or a nonsuit"
90170,"no merits: dismissed or affirmed for want of jurisdiction"
90180,"no merits: adequate non-federal grounds for decision"
90190,"no merits: remand to determine basis of state or federal court decision"
90200,"no merits: miscellaneous"
90210,"standing to sue: adversary parties"
90220,"standing to sue: direct injury"
90230,"standing to sue: legal injury"
90240,"standing to sue: personal injury"
90250,"standing to sue: justiciable question"
90260,"standing to sue: live dispute"
90270,"standing to sue: parens patriae standing"
90280,"standing to sue: statutory standing"
90290,"standing to sue: private or implied cause of action"
90300,"standing to sue: taxpayer's suit"
90310,"standing to sue: miscellaneous"
90320,"judicial administration: jurisdiction or authority of federal district courts or territorial courts"
90330,"judicial administration: jurisdiction or authority of federal courts of appeals"
90340,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals"
90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court"
90360,"judicial administration: jurisdiction or authority of the Court of Claims"
90370,"judicial administration: Supreme Court's original jurisdiction"
90380,"judicial administration: review of non-final order"
90390,"judicial administration: change in state law"
90400,"judicial administration: federal question"
90410,"judicial administration: ancillary or pendent jurisdiction"
90420,"judicial administration: extraordinary relief (e.g., mandamus, injunction)"
90430,"judicial administration: certification"
90440,"judicial administration: resolution of circuit conflict, or conflict between or among other courts"
90450,"judicial administration: objection to reason for denial of certiorari or appeal"
90460,"judicial administration: collateral estoppel or res judicata"
90470,"judicial administration: interpleader"
90480,"judicial administration: untimely filing"
90490,"judicial administration: Act of State doctrine"
90500,"judicial administration: miscellaneous"
90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction"
90520,"miscellaneous judicial power, especially diversity jurisdiction"
100010,"federal-state ownership dispute"
100020,"federal pre-emption of state court jurisdiction"
100030,"federal pre-emption of state legislation or regulation"
100040,"Submerged Lands Act"
100050,"national supremacy: commodities"
100060,"national supremacy: intergovernmental tax immunity"
100070,"national supremacy: marital and family relationships and property, including obligation of child support"
100080,"national supremacy: natural resources"
100090,"national supremacy: pollution, air or water"
100100,"national supremacy: public utilities"
100110,"national supremacy: state tax"
100120,"national supremacy: miscellaneous"
100130,"miscellaneous federalism"
110010,"boundary dispute between states"
110020,"non-real property dispute between states"
110030,"miscellaneous interstate relations conflict"
110033,"incorporation of foreign territories"
120010,"federal taxation (Internal Revenue Code)"
120020,"federal taxation of gifts, personal, business, or professional expenses"
120030,"priority of federal fiscal claims"
120040,"miscellaneous federal taxation"
130010,"legislative veto"
130015,"executive authority vis-a-vis congress or the states"
130020,"miscellaneous"
140010,"real property"
140020,"personal property"
140030,"contracts"
140040,"evidence"
140050,"civil procedure"
140060,"torts"
140070,"wills and trusts"
140080,"commercial transactions"
